Name,Platform,Year,Genre,Publisher
God of War,PS2,2005,Action,Sony Computer Entertainment
Wii Sports,Wii,2006,Sports,Nintendo
New Super Mario Bros.,DS,2006,Platform,Nintendo
Wii Play,Wii,2006,Misc,Nintendo
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo
Gears of War,X360,2006,Shooter,Microsoft Game Studios
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix
Cooking Mama,DS,2006,Simulation,505 Games
Guitar Hero II,PS2,2006,Misc,RedOctane
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive
Madden NFL 07,PS2,2006,Sports,Electronic Arts
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment
Wii Fit,Wii,2007,Sports,Nintendo
Halo 3,X360,2007,Shooter,Microsoft Game Studios
Super Mario Galaxy,Wii,2007,Platform,Nintendo
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision
Mario Party DS,DS,2007,Misc,Nintendo
Mario Party 8,Wii,2007,Misc,Nintendo
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts
Assassin's Creed,X360,2007,Adventure,Ubisoft
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo
Link's Crossbow Training,Wii,2007,Shooter,Nintendo
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts
Assassin's Creed,PS3,2007,Adventure,Ubisoft
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision
Mario Kart Wii,Wii,2008,Racing,Nintendo
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo
Call of Duty: World at War,X360,2008,Shooter,Activision
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom
Call of Duty: World at War,PS3,2008,Shooter,Activision
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo
Wii Sports Resort,Wii,2009,Sports,Nintendo
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo
Wii Fit Plus,Wii,2009,Sports,Nintendo
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision
The Sims 3,PC,2009,Simulation,Electronic Arts
Just Dance,Wii,2009,Misc,Ubisoft
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo
Assassin's Creed II,PS3,2009,Action,Ubisoft
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix
Assassin's Creed II,X360,2009,Action,Ubisoft
Resident Evil 5,PS3,2009,Action,Capcom
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo
Call of Duty: Black Ops,X360,2010,Shooter,Activision
Call of Duty: Black Ops,PS3,2010,Shooter,Activision
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios
Just Dance 2,Wii,2010,Misc,Ubisoft
Wii Party,Wii,2010,Misc,Nintendo
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo
Zumba Fitness,Wii,2010,Sports,505 Games
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo
Red Dead Redemption,X360,2010,Action,Take-Two Interactive
Kinect Sports,X360,2010,Sports,Microsoft Game Studios
Fable III,X360,2010,Role-Playing,Microsoft Game Studios
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom
God of War III,PS3,2010,Action,Sony Computer Entertainment
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision
Mario Kart 7,3DS,2011,Racing,Nintendo
Super Mario 3D Land,3DS,2011,Platform,Nintendo
Just Dance 3,Wii,2011,Misc,Ubisoft
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks
Battlefield 3,X360,2011,Shooter,Electronic Arts
Battlefield 3,PS3,2011,Shooter,Electronic Arts
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment
FIFA 12,PS3,2011,Sports,Electronic Arts
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision
Call of Duty: Black Ops II,X360,2012,Shooter,Activision
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo
Halo 4,X360,2012,Shooter,Microsoft Game Studios
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo
FIFA Soccer 13,PS3,2012,Action,Electronic Arts
Just Dance 4,Wii,2012,Misc,Ubisoft
Assassin's Creed III,PS3,2012,Action,Ubisoft
Assassin's Creed III,X360,2012,Action,Ubisoft
Diablo III,PC,2012,Role-Playing,Activision
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo
FIFA Soccer 13,X360,2012,Action,Electronic Arts
Nintendo Land,WiiU,2012,Misc,Nintendo
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo
Call of Duty: Ghosts,X360,2013,Shooter,Activision
Call of Duty: Ghosts,PS3,2013,Shooter,Activision
Minecraft,X360,2013,Misc,Microsoft Game Studios
FIFA 14,PS3,2013,Sports,Electronic Arts
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe
Tomodachi Life,3DS,2013,Simulation,Nintendo
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo
Mario Kart 8,WiiU,2014,Racing,Nintendo
FIFA 15,PS4,2014,Sports,Electronic Arts
Destiny,PS4,2014,Shooter,Activision
Minecraft,PS3,2014,Misc,Sony Computer Entertainment
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo
FIFA 15,PS3,2014,Sports,Electronic Arts
The Last of Us,PS4,2014,Action,Sony Computer Entertainment
Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision
FIFA 16,PS4,2015,Sports,Electronic Arts
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks
Splatoon,WiiU,2015,Shooter,Nintendo
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment
FIFA 17,PS4,2016,Sports,Electronic Arts
Madden NFL 2004,PS2,N/A,Sports,Electronic Arts
